entity,n-revs
package.json,347
scripts/fiber/tests-passing.txt,292
src/renderers/shared/fiber/ReactFiberScheduler.js,185
src/core/ReactCompositeComponent.js,184
src/renderers/shared/fiber/ReactFiberBeginWork.js,159
src/renderers/dom/shared/__tests__/ReactDOMComponent-test.js,141
docs/docs/tutorial.md,128
src/test/ReactTestUtils.js,128
src/renderers/dom/shared/ReactDOMComponent.js,127
src/core/__tests__/ReactCompositeComponent-test.js,118
scripts/fiber/tests-failing.txt,116
src/renderers/shared/fiber/ReactFiberReconciler.js,113
Gruntfile.js,109
src/renderers/shared/fiber/ReactChildFiber.js,100
README.md,100
src/renderers/shared/fiber/ReactFiberCompleteWork.js,93
src/renderers/dom/fiber/ReactDOMFiber.js,91
src/renderers/shared/fiber/ReactFiber.js,85
src/core/ReactComponent.js,85
CHANGELOG.md,84
src/renderers/shared/fiber/__tests__/ReactIncremental-test.js,81
src/renderers/shared/fiber/ReactFiberCommitWork.js,77
src/renderers/dom/fiber/ReactDOMFiberComponent.js,76
docs/_config.yml,74
.travis.yml,73
src/renderers/dom/client/ReactMount.js,72
scripts/rollup/results.json,70
src/renderers/shared/fiber/ReactFiberClassComponent.js,70
src/test/__tests__/ReactTestUtils-test.js,63
src/renderers/shared/reconciler/ReactCompositeComponent.js,63
src/browser/ui/React.js,61
docs/docs/05-reusable-components.md,60
src/renderers/noop/ReactNoop.js,60
src/renderers/shared/stack/reconciler/ReactCompositeComponent.js,60
src/browser/ui/ReactDOMComponent.js,59
src/browser/ui/ReactMount.js,58
packages/react/package.json,55
src/browser/ui/__tests__/ReactDOMComponent-test.js,54
grunt/config/browserify.js,53
packages/react-dom/package.json,52
src/renderers/shared/fiber/ReactFiberUpdateQueue.js,51
src/isomorphic/classic/types/__tests__/ReactPropTypes-test.js,51
docs/docs/ref-01-top-level-api.md,50
docs/_layouts/default.html,49
vendor/browser-transforms.js,48
src/renderers/shared/reconciler/__tests__/ReactCompositeComponent-test.js,48
docs/docs/ref-04-tags-and-attributes.md,48
src/renderers/shared/fiber/__tests__/ReactIncrementalSideEffects-test.js,47
src/isomorphic/classic/element/ReactElement.js,47
yarn.lock,46
src/isomorphic/classic/element/ReactElementValidator.js,46
src/renderers/dom/shared/HTMLDOMPropertyConfig.js,45
scripts/fiber/tests-passing-except-dev.txt,45
src/isomorphic/classic/element/__tests__/ReactElement-test.js,45
docs/_data/nav_docs.yml,45
src/renderers/shared/fiber/ReactFiberContext.js,45
src/test/ReactDefaultPerf.js,45
src/isomorphic/classic/class/ReactClass.js,44
docs/docs/02.1-jsx-in-depth.md,43
src/core/ReactMount.js,43
docs/docs/getting-started.md,43
src/renderers/dom/shared/DOMPropertyOperations.js,42
src/test/reactComponentExpect.js,41
src/addons/transitions/ReactTransitionGroup.js,40
src/renderers/dom/client/wrappers/ReactDOMInput.js,39
src/core/__tests__/ReactComponentLifeCycle-test.js,39
src/renderers/dom/client/wrappers/__tests__/ReactDOMInput-test.js,39
docs/tutorial/tutorial.md,39
docs/docs/tutorial.ko-KR.md,39
src/renderers/shared/ReactDebugTool.js,39
src/renderers/shared/fiber/__tests__/ReactIncrementalErrorHandling-test.js,38
src/isomorphic/classic/element/__tests__/ReactElementValidator-test.js,38
src/core/ReactNativeComponent.js,38
src/browser/ui/dom/HTMLDOMPropertyConfig.js,37
src/renderers/dom/shared/__tests__/ReactDOMServerIntegration-test.js,37
src/isomorphic/classic/types/ReactPropTypes.js,37
src/renderers/dom/fiber/__tests__/ReactDOMFiber-test.js,37
src/renderers/dom/client/__tests__/ReactMount-test.js,37
docs/docs/ref-03-component-specs.md,36
docs/docs/ref-02-component-api.md,36
docs/docs/02-displaying-data.md,35
src/renderers/dom/stack/client/ReactDOMComponent.js,35
src/addons/transitions/__tests__/ReactCSSTransitionGroup-test.js,35
packages/react-test-renderer/package.json,34
src/core/ReactUpdates.js,34
docs/docs/ref-05-events.md,34
src/classic/element/ReactElementValidator.js,34
src/core/ReactMultiChild.js,34
docs/_js/live_editor.js,34
.eslintignore,34
vendor/fbtransform/transforms/react.js,33
src/core/ReactInstanceHandles.js,33
docs/docs/10.4-test-utils.md,33
src/isomorphic/classic/__tests__/ReactContextValidator-test.js,32
src/ReactVersion.js,32
src/renderers/native/ReactNativeFiber.js,31
scripts/rollup/bundles.js,31
src/renderers/testing/__tests__/ReactTestRenderer-test.js,31
src/core/__tests__/ReactIdentity-test.js,31
docs/docs/thinking-in-react.md,31
src/renderers/dom/shared/ReactDOMTextComponent.js,30
npm-react/package.json,30
src/isomorphic/modern/class/__tests__/ReactES6Class-test.js,30
src/core/__tests__/ReactComponent-test.js,30
docs/docs/videos.md,30
src/renderers/dom/ReactDOM.js,30
src/event/EventPluginHub.js,30
gulpfile.js,30
docs/community/conferences.md,30
src/addons/transitions/__tests__/ReactTransitionGroup-test.js,30
docs/docs/04-multiple-components.md,29
src/renderers/dom/shared/CSSPropertyOperations.js,29
docs/downloads.md,29
docs/docs/03-interactivity-and-dynamic-uis.md,29
docs/docs/tutorial.ja-JP.md,29
packages/react-noop-renderer/package.json,29
src/core/__tests__/ReactInstanceHandles-test.js,28
src/isomorphic/modern/element/__tests__/ReactJSXElementValidator-test.js,28
src/addons/transitions/ReactCSSTransitionGroup.js,28
src/addons/transitions/ReactCSSTransitionGroupChild.js,28
src/dom/DefaultDOMPropertyConfig.js,28
src/utils/traverseAllChildren.js,28
docs/_css/react.scss,28
src/classic/class/ReactClass.js,28
src/renderers/shared/fiber/__tests__/ReactIncrementalScheduling-test.js,27
src/core/React.js,27
docs/js/react.js,27
docs/docs/installation.md,27
src/renderers/dom/fiber/ReactDOMFiberEntry.js,27
src/core/__tests__/ReactPropTypes-test.js,27
src/browser/ReactDOM.js,26
src/isomorphic/hooks/ReactComponentTreeHook.js,26
src/renderers/dom/__tests__/ReactDOMProduction-test.js,26
src/renderers/shared/fiber/ReactFiberTreeReflection.js,26
src/renderers/dom/shared/__tests__/DOMPropertyOperations-test.js,26
docs/index.md,26
src/addons/__tests__/ReactFragment-test.js,26
CONTRIBUTING.md,26
src/dom/components/ReactDOMInput.js,25
docs/docs/10.1-animation.md,25
src/isomorphic/classic/element/__tests__/ReactElementClone-test.js,25
src/renderers/dom/shared/wrappers/__tests__/ReactDOMInput-test.js,25
src/core/ReactPropTransferer.js,25
src/isomorphic/children/__tests__/ReactChildren-test.js,25
src/renderers/dom/server/__tests__/ReactServerRendering-test.js,25
grunt/tasks/release.js,25
.flowconfig,25
docs/css/react.scss,24
docs/docs/getting-started.zh-CN.md,24
.gitignore,24
docs/docs/flux-todo-list.md,24
src/isomorphic/modern/class/__tests__/ReactTypeScriptClass-test.ts,24
src/classic/element/__tests__/ReactElementValidator-test.js,24
docs/docs/07-working-with-the-browser.md,24
src/renderers/dom/client/wrappers/ReactDOMSelect.js,24
src/core/shouldUpdateReactComponent.js,24
src/renderers/dom/fiber/wrappers/ReactDOMFiberSelect.js,24
src/renderers/art/ReactARTFiber.js,23
vendor/fbtransform/transforms/xjs.js,23
src/browser/eventPlugins/SimpleEventPlugin.js,23
src/renderers/shared/stack/reconciler/ReactChildReconciler.js,23
src/test/ReactDefaultPerfAnalysis.js,23
main.js,23
src/core/ReactPropTypes.js,23
src/renderers/shared/fiber/ReactFiberHostContext.js,23
src/shared/utils/__tests__/traverseAllChildren-test.js,23
src/renderers/dom/shared/__tests__/CSSPropertyOperations-test.js,23
src/core/instantiateReactComponent.js,23
src/core/__tests__/ReactMultiChildText-test.js,23
src/renderers/dom/fiber/wrappers/ReactDOMFiberInput.js,23
src/isomorphic/React.js,23
src/renderers/shared/reconciler/ReactUpdateQueue.js,23
src/core/__tests__/ReactMultiChildReconcile-test.js,23
packages/react-addons/package.json,22
src/renderers/shared/utils/ReactErrorUtils.js,22
src/eventPlugins/SimpleEventPlugin.js,22
src/renderers/dom/shared/ReactDefaultInjection.js,22
scripts/rollup/build.js,22
src/browser/ui/ReactDefaultInjection.js,22
src/renderers/dom/client/wrappers/__tests__/ReactDOMSelect-test.js,22
src/isomorphic/modern/class/__tests__/ReactCoffeeScriptClass-test.coffee,22
src/isomorphic/ReactDebugTool.js,22
docs/js/react-dom.js,22
docs/docs/complementary-tools.md,22
src/core/__tests__/ReactUpdates-test.js,22
src/renderers/dom/server/ReactServerRendering.js,22
src/shared/utils/traverseAllChildren.js,22
src/renderers/dom/client/syntheticEvents/SyntheticEvent.js,22
docs/docs/08-tooling-integration.md,22
src/renderers/shared/reconciler/ReactReconciler.js,22
scripts/rollup/modules.js,22
src/core/ReactDefaultInjection.js,22
docs/docs/02-displaying-data.zh-CN.md,21
src/browser/ui/dom/components/ReactDOMSelect.js,21
src/renderers/dom/client/wrappers/ReactDOMTextarea.js,21
docs/docs/08.1-more-about-refs.md,21
packages/react-art/package.json,21
src/renderers/dom/client/utils/DOMChildrenOperations.js,21
src/core/ReactEventEmitter.js,21
src/renderers/dom/client/eventPlugins/SimpleEventPlugin.js,21
src/test/ReactPerf.js,20
src/isomorphic/modern/element/__tests__/ReactJSXElement-test.js,20
src/isomorphic/classic/class/__tests__/ReactClass-test.js,20
src/renderers/shared/reconciler/ReactMultiChild.js,20
docs/docs/ref-08-reconciliation.md,20
vendor/constants.js,20
docs/docs/07-forms.md,19
src/renderers/shared/reconciler/instantiateReactComponent.js,19
src/renderers/dom/shared/SVGDOMPropertyConfig.js,19
src/renderers/shared/reconciler/__tests__/ReactComponentLifeCycle-test.js,19
docs/contributing/how-to-contribute.md,19
src/renderers/dom/shared/__tests__/ReactServerRendering-test.js,19
src/renderers/__tests__/ReactCompositeComponent-test.js,19
docs/docs/ref-02-component-api.ko-KR.md,19
src/browser/server/ReactServerRendering.js,19
src/utils/flattenChildren.js,19
scripts/jest/preprocessor.js,19
src/event/EventConstants.js,19
docs/docs/06-transferring-props.md,19
src/addons/ReactFragment.js,19
src/renderers/shared/reconciler/__tests__/ReactUpdates-test.js,19
docs/_includes/nav_docs.html,18
docs/docs/getting-started.ko-KR.md,18
src/utils/cloneWithProps.js,18
docs/docs/tutorial.zh-CN.md,18
src/dom/components/ReactDOMTextarea.js,18
src/renderers/shared/shared/event/EventPluginHub.js,18
AUTHORS,18
src/utils/__tests__/cloneWithProps-test.js,18
src/renderers/shared/stack/reconciler/ReactMultiChild.js,18
fixtures/attribute-behavior/src/App.js,18
src/utils/__tests__/traverseAllChildren-test.js,18
.eslintrc,18
src/addons/update.js,18
src/renderers/dom/shared/hooks/ReactDOMUnknownPropertyHook.js,18
src/renderers/shared/stack/reconciler/ReactUpdates.js,18
src/browser/__tests__/ReactDOM-test.js,18
docs/docs/optimizing-performance.md,18
src/renderers/shared/stack/reconciler/ReactUpdateQueue.js,18
examples/transitions/index.html,18
src/browser/ui/__tests__/ReactMount-test.js,18
src/renderers/shared/stack/reconciler/ReactRef.js,18
docs/docs/09.1-animation.md,18
src/renderers/dom/client/eventPlugins/ChangeEventPlugin.js,18
src/browser/server/__tests__/ReactServerRendering-test.js,18
src/renderers/dom/shared/DOMProperty.js,17
src/isomorphic/classic/class/__tests__/ReactClassMixin-test.js,17
src/renderers/shared/fiber/__tests__/ReactCoroutine-test.js,17
grunt/config/webdriver-jasmine.js,17
src/browser/ui/dom/DOMPropertyOperations.js,17
src/renderers/dom/shared/__tests__/ReactMount-test.js,17
vendor/fbtransform/transforms/__tests__/react-test.js,17
docs/docs/05-reusable-components.ko-KR.md,17
src/classic/class/__tests__/ReactClass-test.js,17
src/renderers/dom/stack/client/ReactMount.js,17
docs/docs/02-displaying-data.ko-KR.md,17
vendor/fbtransform/transforms/reactDisplayName.js,17
src/renderers/shared/stack/reconciler/instantiateReactComponent.js,17
src/isomorphic/modern/class/ReactComponent.js,17
scripts/jest/test-framework-setup.js,17
src/shared/utils/flattenChildren.js,17
src/core/__tests__/ReactCompositeComponentState-test.js,17
grunt/tasks/jsx.js,17
examples/basic-jsx/index.html,17
src/renderers/dom/client/wrappers/__tests__/ReactDOMTextarea-test.js,17
src/browser/ReactTextComponent.js,17
src/utils/__tests__/ReactChildren-test.js,17
src/renderers/dom/client/ReactBrowserEventEmitter.js,17
grunt/config/server.js,17
src/addons/__tests__/update-test.js,17
src/renderers/testing/ReactTestRenderer.js,16
src/isomorphic/devtools/ReactComponentTreeDevtool.js,16
docs/contributing/codebase-overview.md,16
src/renderers/dom/fiber/wrappers/ReactDOMFiberTextarea.js,16
src/renderers/dom/shared/ReactBrowserEventEmitter.js,16
src/addons/link/__tests__/ReactLinkPropTypes-test.js,16
docs/docs/ref-03-component-specs.ko-KR.md,16
vendor/fbtransform/visitors.js,16
test/index.html,16
docs/docs/forms.md,16
src/renderers/shared/server/ReactPartialRenderer.js,16
docs/docs/11-advanced-performance.md,16
docs/docs/reference-react-component.md,16
src/browser/ReactWithAddons.js,16
src/isomorphic/devtools/__tests__/ReactComponentTreeDevtool-test.js,16
src/test/getTestDocument.js,16
src/renderers/shared/fiber/__tests__/ReactIncrementalUpdates-test.js,16
.mailmap,16
grunt/tasks/browserify.js,16
docs/_js/examples/markdown.js,16
src/isomorphic/children/ReactChildren.js,16
src/renderers/dom/shared/eventPlugins/ChangeEventPlugin.js,16
src/renderers/native/ReactNativeEventEmitter.js,16
docs/docs/ref-04-tags-and-attributes.ko-KR.md,16
bin/jsx,16
src/renderers/dom/shared/ReactDOMDebugTool.js,16
src/browser/ui/dom/__tests__/CSSPropertyOperations-test.js,16
src/renderers/native/ReactNativeMount.js,16
examples/basic/index.html,16
src/renderers/shared/reconciler/__tests__/ReactComponent-test.js,16
src/browser/ui/dom/components/ReactDOMInput.js,15
src/core/ReactDOMIDOperations.js,15
packages/react-native-renderer/package.json,15
src/renderers/dom/client/__tests__/ReactBrowserEventEmitter-test.js,15
src/renderers/dom/client/ReactReconcileTransaction.js,15
src/renderers/native/ReactNativeBaseComponent.js,15
src/utils/OrderedMap.js,15
src/browser/ui/dom/__tests__/DOMPropertyOperations-test.js,15
src/event/EventPluginUtils.js,15
docs/docs/refactor/00-table-of-contents.md,15
src/core/__tests__/ReactMultiChild-test.js,15
src/renderers/native/__tests__/ReactNativeEvents-test.js,15
docs/docs/04-multiple-components.ko-KR.md,15
src/browser/ui/dom/components/__tests__/ReactDOMInput-test.js,15
examples/jquery-bootstrap/js/app.js,15
src/dom/components/__tests__/ReactDOMInput-test.js,15
src/renderers/dom/shared/hooks/ReactDOMInvalidARIAHook.js,15
scripts/error-codes/codes.json,15
src/renderers/shared/utils/__tests__/ReactErrorUtils-test.js,15
src/dom/DOMPropertyOperations.js,15
src/browser/ui/dom/components/ReactDOMTextarea.js,15
docs/docs/tutorial.it-IT.md,15
src/core/ReactID.js,15
src/renderers/dom/client/ReactEventListener.js,15
src/eventPlugins/EnterLeaveEventPlugin.js,15
src/modern/class/__tests__/ReactES6Class-test.js,15
src/renderers/__tests__/ReactUpdates-test.js,15
grunt/tasks/jest.js,15
src/renderers/__tests__/refs-test.js,15
grunt/tasks/webdriver-jasmine.js,15
src/addons/link/ReactLink.js,15
docs/docs/02.1-jsx-in-depth.ko-KR.md,15
src/event/EventPluginRegistry.js,15
src/addons/ReactComponentWithPureRenderMixin.js,14
docs/docs/ref-05-events.ko-KR.md,14
src/addons/link/__tests__/LinkedStateMixin-test.js,14
docs/docs/02.1-jsx-in-depth.zh-CN.md,14
src/renderers/shared/stack/reconciler/ReactReconciler.js,14
docs/docs/getting-started.ja-JP.md,14
src/renderers/shared/fiber/ReactFiberErrorLogger.js,14
src/addons/transitions/ReactTransitionEvents.js,14
src/renderers/shared/fiber/__tests__/ReactIncrementalReflection-test.js,14
docs/docs/conferences.md,14
src/addons/transitions/ReactTransitionChildMapping.js,14
src/renderers/shared/reconciler/ReactUpdates.js,14
src/addons/ReactWithAddons.js,14
docs/docs/06-transferring-props.zh-CN.md,14
docs/docs/refs-and-the-dom.md,14
src/utils/Transaction.js,14
docs/docs/10.4-test-utils.ko-KR.md,14
src/core/ReactOwner.js,14
docs/docs/09-tooling-integration.md,14
grunt/tasks/version-check.js,14
src/shared/types/checkReactTypeSpec.js,14
src/renderers/dom/shared/ReactDOMFeatureFlags.js,14
src/isomorphic/classic/types/__tests__/ReactPropTypesProduction-test.js,14
src/renderers/native/__tests__/ReactNativeMount-test.js,14
docs/Rakefile,14
src/renderers/shared/fiber/__tests__/ReactIncrementalPerf-test.js,14
src/renderers/shared/reconciler/__tests__/ReactEmptyComponent-test.js,14
src/utils/ReactChildren.js,14
src/core/__tests__/ReactNativeComponent-test.js,14
src/renderers/dom/stack/client/wrappers/ReactDOMInput.js,14
src/renderers/shared/event/eventPlugins/__tests__/ResponderEventPlugin-test.js,14
src/renderers/dom/shared/__tests__/ReactBrowserEventEmitter-test.js,14
src/renderers/native/NativeMethodsMixin.js,14
src/browser/ui/dom/DOMProperty.js,14
src/renderers/testing/ReactTestMount.js,14
examples/basic-jsx-external/index.html,14
grunt/tasks/npm-react.js,14
docs/tips/10-props-in-getInitialState-as-anti-pattern.md,14
src/browser/ui/dom/CSSPropertyOperations.js,14
src/browser/ui/ReactDOMTextComponent.js,14
docs/docs/01-why-react.zh-CN.md,14
src/renderers/dom/client/__tests__/ReactRenderDocument-test.js,14
src/core/ReactDOM.js,14
docs/docs/jsx-in-depth.md,13
docs/docs/lifting-state-up.md,13
docs/_js/examples/todo.js,13
src/.jshintrc,13
docs/docs/09.4-test-utils.md,13
examples/todomvc-backbone/js/app.js,13
src/renderers/dom/shared/__tests__/ReactDOMTextComponent-test.js,13
src/core/__tests__/ReactElement-test.js,13
docs/tips/06-style-props-value-px.md,13
src/isomorphic/classic/class/__tests__/ReactBind-test.js,13
src/classic/element/ReactElement.js,13
scripts/release-manager/Readme.md,13
src/core/__tests__/refs-test.js,13
scripts/prettier/index.js,13
docs/tips/14-communicate-between-components.md,13
examples/basic-jsx-precompile/index.html,13
grunt/config/jsx/jsx.js,13
examples/basic-jsx-harmony/index.html,13
scripts/release-manager/cli.js,13
docs/docs/ref-01-top-level-api.ko-KR.md,13
src/browser/ui/dom/SVGDOMPropertyConfig.js,13
scripts/fiber/record-tests,13
src/core/ReactContext.js,13
src/event/__tests__/EventPluginRegistry-test.js,13
flow/react-native-host-hooks.js,13
src/browser/ui/dom/DOMChildrenOperations.js,13
src/isomorphic/modern/class/ReactNoopUpdateQueue.js,13
src/renderers/shared/__tests__/ReactPerf-test.js,13
docs/docs/thinking-in-react.ko-KR.md,13
src/test/all.js,13
src/React.js,13
