entity,n-revs
scripts/fiber/tests-passing.txt,292
src/renderers/shared/fiber/ReactFiberScheduler.js,185
src/renderers/shared/fiber/ReactFiberBeginWork.js,159
scripts/fiber/tests-failing.txt,116
src/renderers/shared/fiber/ReactFiberReconciler.js,113
package.json,108
src/renderers/shared/fiber/ReactChildFiber.js,100
src/renderers/shared/fiber/ReactFiberCompleteWork.js,93
src/renderers/dom/fiber/ReactDOMFiber.js,91
src/renderers/shared/fiber/ReactFiber.js,85
src/renderers/shared/fiber/__tests__/ReactIncremental-test.js,81
src/renderers/shared/fiber/ReactFiberCommitWork.js,77
src/renderers/dom/shared/__tests__/ReactDOMComponent-test.js,76
src/renderers/dom/fiber/ReactDOMFiberComponent.js,76
scripts/rollup/results.json,70
src/renderers/shared/fiber/ReactFiberClassComponent.js,70
src/renderers/noop/ReactNoop.js,60
src/renderers/shared/stack/reconciler/ReactCompositeComponent.js,60
src/renderers/shared/fiber/ReactFiberUpdateQueue.js,51
src/renderers/shared/fiber/__tests__/ReactIncrementalSideEffects-test.js,47
yarn.lock,46
scripts/fiber/tests-passing-except-dev.txt,45
src/renderers/dom/shared/ReactDOMComponent.js,45
src/renderers/shared/fiber/ReactFiberContext.js,45
CHANGELOG.md,44
docs/tutorial/tutorial.md,39
src/renderers/shared/ReactDebugTool.js,39
src/renderers/shared/fiber/__tests__/ReactIncrementalErrorHandling-test.js,38
src/renderers/dom/shared/__tests__/ReactDOMServerIntegration-test.js,37
src/renderers/dom/fiber/__tests__/ReactDOMFiber-test.js,37
packages/react-dom/package.json,36
src/renderers/dom/stack/client/ReactDOMComponent.js,35
packages/react-test-renderer/package.json,34
packages/react/package.json,33
src/isomorphic/classic/types/__tests__/ReactPropTypes-test.js,33
src/renderers/native/ReactNativeFiber.js,31
scripts/rollup/bundles.js,31
src/renderers/testing/__tests__/ReactTestRenderer-test.js,31
src/isomorphic/classic/element/ReactElementValidator.js,31
src/test/ReactTestUtils.js,30
docs/community/conferences.md,30
packages/react-noop-renderer/package.json,29
src/isomorphic/classic/element/__tests__/ReactElement-test.js,28
src/renderers/shared/fiber/__tests__/ReactIncrementalScheduling-test.js,27
docs/docs/installation.md,27
