module,revisions,code
src/renderers/shared/fiber/ReactFiberScheduler.js,185,1139
src/renderers/shared/fiber/ReactFiberBeginWork.js,159,619
src/renderers/shared/fiber/ReactFiberReconciler.js,113,264
package.json,108,116
src/renderers/shared/fiber/ReactChildFiber.js,100,1164
src/renderers/shared/fiber/ReactFiberCompleteWork.js,93,316
src/renderers/shared/fiber/ReactFiber.js,85,295
src/renderers/shared/fiber/__tests__/ReactIncremental-test.js,81,2102
src/renderers/shared/fiber/ReactFiberCommitWork.js,77,488
src/renderers/dom/shared/__tests__/ReactDOMComponent-test.js,76,1886
src/renderers/dom/fiber/ReactDOMFiberComponent.js,76,994
src/renderers/shared/fiber/ReactFiberClassComponent.js,70,492
scripts/rollup/results.json,70,192
src/renderers/shared/stack/reconciler/ReactCompositeComponent.js,60,983
src/renderers/shared/fiber/ReactFiberUpdateQueue.js,51,375
src/renderers/shared/fiber/__tests__/ReactIncrementalSideEffects-test.js,47,860
src/renderers/shared/fiber/ReactFiberContext.js,45,237
CHANGELOG.md,44,891
docs/tutorial/tutorial.md,39,849
src/renderers/shared/ReactDebugTool.js,39,381
src/renderers/shared/fiber/__tests__/ReactIncrementalErrorHandling-test.js,38,1005
src/renderers/dom/shared/__tests__/ReactDOMServerIntegration-test.js,37,2233
src/renderers/dom/fiber/__tests__/ReactDOMFiber-test.js,37,969
packages/react-dom/package.json,36,43
src/renderers/dom/stack/client/ReactDOMComponent.js,35,936
packages/react-test-renderer/package.json,34,32
packages/react/package.json,33,34
src/renderers/testing/__tests__/ReactTestRenderer-test.js,31,720
scripts/rollup/bundles.js,31,348
src/isomorphic/classic/element/ReactElementValidator.js,31,230
docs/community/conferences.md,30,104
packages/react-noop-renderer/package.json,29,19
src/isomorphic/classic/element/__tests__/ReactElement-test.js,28,498
src/renderers/dom/fiber/ReactDOMFiberEntry.js,27,716
docs/docs/installation.md,27,277
src/renderers/shared/fiber/__tests__/ReactIncrementalScheduling-test.js,27,271
src/isomorphic/hooks/ReactComponentTreeHook.js,26,323
src/renderers/shared/fiber/ReactFiberTreeReflection.js,26,230
README.md,25,40
src/renderers/dom/shared/wrappers/__tests__/ReactDOMInput-test.js,25,1095
src/ReactVersion.js,24,2
src/renderers/dom/fiber/wrappers/ReactDOMFiberSelect.js,24,160
src/renderers/dom/fiber/wrappers/ReactDOMFiberInput.js,23,236
src/renderers/shared/fiber/ReactFiberHostContext.js,23,88
src/renderers/shared/stack/reconciler/ReactChildReconciler.js,23,147
src/isomorphic/classic/element/ReactElement.js,22,260
src/renderers/shared/utils/ReactErrorUtils.js,22,162
scripts/rollup/modules.js,22,258
scripts/rollup/build.js,22,490
src/renderers/dom/__tests__/ReactDOMProduction-test.js,22,244
src/isomorphic/classic/__tests__/ReactContextValidator-test.js,22,291
packages/react-art/package.json,21,42
src/isomorphic/classic/element/__tests__/ReactElementValidator-test.js,20,422
src/renderers/dom/shared/__tests__/ReactServerRendering-test.js,19,642
src/renderers/dom/shared/CSSPropertyOperations.js,19,81
docs/contributing/how-to-contribute.md,19,100
src/renderers/__tests__/ReactCompositeComponent-test.js,19,1187
src/renderers/dom/shared/DOMPropertyOperations.js,19,209
docs/docs/optimizing-performance.md,18,278
src/renderers/shared/stack/reconciler/ReactMultiChild.js,18,358
fixtures/attribute-behavior/src/App.js,18,936
src/isomorphic/classic/element/__tests__/ReactElementClone-test.js,18,310
src/renderers/shared/shared/event/EventPluginHub.js,18,146
src/renderers/shared/stack/reconciler/ReactRef.js,18,104
src/renderers/shared/stack/reconciler/ReactUpdates.js,18,137
src/renderers/dom/shared/hooks/ReactDOMUnknownPropertyHook.js,18,229
src/renderers/shared/stack/reconciler/ReactUpdateQueue.js,18,165
src/renderers/dom/shared/__tests__/ReactMount-test.js,17,340
src/renderers/dom/stack/client/ReactMount.js,17,533
src/isomorphic/modern/element/__tests__/ReactJSXElementValidator-test.js,17,317
src/renderers/shared/stack/reconciler/instantiateReactComponent.js,17,103
src/renderers/shared/fiber/__tests__/ReactCoroutine-test.js,17,190
src/renderers/dom/fiber/wrappers/ReactDOMFiberTextarea.js,16,114
src/renderers/dom/shared/HTMLDOMPropertyConfig.js,16,78
src/renderers/dom/shared/ReactBrowserEventEmitter.js,16,125
docs/docs/reference-react-component.md,16,253
src/renderers/native/ReactNativeEventEmitter.js,16,107
docs/contributing/codebase-overview.md,16,260
src/renderers/dom/shared/eventPlugins/ChangeEventPlugin.js,16,193
docs/docs/forms.md,16,208
scripts/jest/test-framework-setup.js,16,59
src/renderers/shared/server/ReactPartialRenderer.js,16,745
src/isomorphic/children/__tests__/ReactChildren-test.js,16,780
